,start_time,ambient_temperature,battery_id,test_id,uid,filename,cycle_number
59,[2008. 4. 19. 20. 9. 47.750],24,B0005,59,60,00060.csv,26
63,[2008. 4. 20. 1. 22. 53.953],24,B0005,63,64,00064.csv,27
67,[2008. 4. 20. 6. 35. 39.765],24,B0005,67,68,00068.csv,28
71,[2008. 4. 20. 11. 57. 8.765],24,B0005,71,72,00072.csv,29
75,[2008. 4. 20. 17. 17. 44.031],24,B0005,75,76,00076.csv,30
79,[2008. 4. 20. 22. 31. 18.046],24,B0005,79,80,00080.csv,31
83,[2008. 4. 21. 17. 51. 26.312],24,B0005,83,84,00084.csv,32
84,[2008. 4. 22. 14. 15. 41.187],24,B0005,84,85,00085.csv,33
87,[2008. 4. 22. 17. 4. 53.218],24,B0005,87,88,00088.csv,34
91,[2008. 4. 22. 21. 56. 21.406],24,B0005,91,92,00092.csv,35
95,[2008. 4. 23. 2. 47. 55.453],24,B0005,95,96,00096.csv,36
99,[2008. 4. 23. 7. 47. 54.718],24,B0005,99,100,00100.csv,37
103,[2008. 4. 23. 12. 37. 17.515],24,B0005,103,104,00104.csv,38
107,[2008. 4. 23. 17. 35. 42.828],24,B0005,107,108,00108.csv,39
111,[2008. 4. 23. 22. 32. 6.671],24,B0005,111,112,00112.csv,40
115,[2008. 4. 24. 3. 20. 23.359],24,B0005,115,116,00116.csv,41
119,[2008. 4. 24. 8. 18. 41.703],24,B0005,119,120,00120.csv,42
123,[2008. 4. 24. 13. 17. 56.250],24,B0005,123,124,00124.csv,43
127,[2008. 4. 24. 18. 14. 28.937],24,B0005,127,128,00128.csv,44
131,[2008. 4. 24. 23. 6. 34.156],24,B0005,131,132,00132.csv,45
134,[2008. 4. 25. 17. 2. 35.703],24,B0005,134,135,00135.csv,46
137,[2008. 4. 25. 21. 32. 20.468],24,B0005,137,138,00138.csv,47
141,[2008. 4. 26. 2. 32. 41.093],24,B0005,141,142,00142.csv,48
145,[2008. 4. 26. 7. 25. 23.031],24,B0005,145,146,00146.csv,49
148,[2008. 4. 28. 17. 20. 47.859],24,B0005,148,149,00149.csv,50
151,[2008. 4. 29. 13. 44. 46.546],24,B0005,151,152,00152.csv,51
155,[2008. 4. 29. 18. 34. 10.656],24,B0005,155,156,00156.csv,52
159,[2008. 4. 29. 23. 28. 20.218],24,B0005,159,160,00160.csv,53
163,[2008. 4. 30. 4. 11. 53.078],24,B0005,163,164,00164.csv,54
167,[2008. 4. 30. 9. 9. 32.281],24,B0005,167,168,00168.csv,55
171,[2008. 4. 30. 13. 56. 29.843],24,B0005,171,172,00172.csv,56
175,[2008. 4. 30. 18. 47. 57.390],24,B0005,175,176,00176.csv,57
179,[2008. 4. 30. 23. 42. 27.250],24,B0005,179,180,00180.csv,58
183,[2008. 5. 1. 4. 42. 57.703],24,B0005,183,184,00184.csv,59
187,[2008. 5. 1. 9. 43. 18.359],24,B0005,187,188,00188.csv,60
191,[2008. 5. 1. 14. 41. 41.578],24,B0005,191,192,00192.csv,61
195,[2008. 5. 1. 19. 38. 17.968],24,B0005,195,196,00196.csv,62
199,[2008. 5. 2. 0. 37. 22.234],24,B0005,199,200,00200.csv,63
203,[2008. 5. 2. 5. 20. 24.687],24,B0005,203,204,00204.csv,64
207,[2008. 5. 2. 10. 11. 31.921],24,B0005,207,208,00208.csv,65
211,[2008. 5. 2. 15. 9. 46.812],24,B0005,211,212,00212.csv,66
214,[2008. 5. 2. 20. 28. 25.781],24,B0005,214,215,00215.csv,67
217,[2008. 5. 3. 0. 50. 52.187],24,B0005,217,218,00218.csv,68
221,[2008. 5. 3. 5. 39. 33.921],24,B0005,221,222,00222.csv,69
225,[2008. 5. 3. 10. 36. 35.781],24,B0005,225,226,00226.csv,70
229,[2008. 5. 3. 15. 30. 41.640],24,B0005,229,230,00230.csv,71
233,[2008. 5. 3. 20. 24. 21.312],24,B0005,233,234,00234.csv,72
237,[2008. 5. 4. 1. 8. 29.578],24,B0005,237,238,00238.csv,73
241,[2008. 5. 4. 6. 7. 29.546],24,B0005,241,242,00242.csv,74
245,[2008. 5. 4. 11. 6. 2.078],24,B0005,245,246,00246.csv,75
249,[2008. 5. 4. 16. 3. 55.281],24,B0005,249,250,00250.csv,76
253,[2008. 5. 4. 21. 2. 41.203],24,B0005,253,254,00254.csv,77
257,[2008. 5. 5. 2. 1. 17.890],24,B0005,257,258,00258.csv,78
261,[2008. 5. 5. 6. 53. 38.406],24,B0005,261,262,00262.csv,79
264,[2008. 5. 5. 17. 40. 16.687],24,B0005,264,265,00265.csv,80
267,[2008. 5. 5. 22. 5. 32.500],24,B0005,267,268,00268.csv,81
271,[2008. 5. 6. 3. 3. 53.390],24,B0005,271,272,00272.csv,82
275,[2008. 5. 6. 8. 2. 5.062],24,B0005,275,276,00276.csv,83
279,[2008. 5. 6. 12. 50. 20.781],24,B0005,279,280,00280.csv,84
283,[2008. 5. 6. 17. 48. 34.906],24,B0005,283,284,00284.csv,85
287,[2008. 5. 6. 22. 46. 40.375],24,B0005,287,288,00288.csv,86
291,[2008. 5. 7. 3. 42. 15.750],24,B0005,291,292,00292.csv,87
295,[2008. 5. 7. 8. 28. 34.453],24,B0005,295,296,00296.csv,88
299,[2008. 5. 7. 13. 26. 13.671],24,B0005,299,300,00300.csv,89
303,[2008. 5. 7. 18. 23. 54.687],24,B0005,303,304,00304.csv,90
307,[2008. 5. 7. 23. 20. 34.515],24,B0005,307,308,00308.csv,91
314,[2008. 5. 9. 17. 26. 51.968],24,B0005,314,315,00315.csv,92
317,[2008. 5. 9. 21. 53. 0.281],24,B0005,317,318,00318.csv,93
321,[2008. 5. 10. 2. 46. 38.734],24,B0005,321,322,00322.csv,94
325,[2008. 5. 10. 7. 42. 46.312],24,B0005,325,326,00326.csv,95
329,[2008. 5. 10. 12. 40. 29.890],24,B0005,329,330,00330.csv,96
333,[2008. 5. 10. 17. 36. 13.062],24,B0005,333,334,00334.csv,97
337,[2008. 5. 10. 22. 32. 2.937],24,B0005,337,338,00338.csv,98
341,[2008. 5. 11. 3. 29. 30.359],24,B0005,341,342,00342.csv,99
345,[2008. 5. 11. 8. 19. 27.953],24,B0005,345,346,00346.csv,100
349,[2008. 5. 11. 13. 16. 38.640],24,B0005,349,350,00350.csv,101
353,[2008. 5. 11. 18. 13. 51.109],24,B0005,353,354,00354.csv,102
357,[2008. 5. 11. 23. 10. 55.875],24,B0005,357,358,00358.csv,103
361,[2008. 5. 12. 4. 0. 32.718],24,B0005,361,362,00362.csv,104
365,[2008. 5. 12. 16. 11. 11.140],24,B0005,365,366,00366.csv,105
368,[2008. 5. 12. 20. 23. 51.828],24,B0005,368,369,00369.csv,106
372,[2008. 5. 13. 1. 16. 51.859],24,B0005,372,373,00373.csv,107
376,[2008. 5. 13. 5. 58. 50.796],24,B0005,376,377,00377.csv,108
380,[2008. 5. 13. 10. 47. 1.828],24,B0005,380,381,00381.csv,109
384,[2008. 5. 13. 15. 43. 41.296],24,B0005,384,385,00385.csv,110
388,[2008. 5. 13. 20. 27. 29.109],24,B0005,388,389,00389.csv,111
392,[2008. 5. 14. 1. 22. 34.765],24,B0005,392,393,00393.csv,112
396,[2008. 5. 14. 6. 18. 57.625],24,B0005,396,397,00397.csv,113
400,[2008. 5. 14. 11. 15. 12.671],24,B0005,400,401,00401.csv,114
404,[2008. 5. 14. 15. 58. 13.406],24,B0005,404,405,00405.csv,115
408,[2008. 5. 14. 20. 54. 30.671],24,B0005,408,409,00409.csv,116
412,[2008. 5. 15. 1. 50. 38.062],24,B0005,412,413,00413.csv,117
416,[2008. 5. 15. 6. 46. 38.500],24,B0005,416,417,00417.csv,118
420,[2008. 5. 15. 11. 42. 28.859],24,B0005,420,421,00421.csv,119
424,[2008. 5. 15. 16. 33. 24.093],24,B0005,424,425,00425.csv,120
428,[2008. 5. 15. 21. 19. 13.234],24,B0005,428,429,00429.csv,121
431,[2008. 5. 16. 18. 43. 58.906],24,B0005,431,432,00432.csv,122
434,[2008. 5. 16. 23. 0. 32.515],24,B0005,434,435,00435.csv,123
438,[2008. 5. 17. 3. 54. 49.125],24,B0005,438,439,00439.csv,124
442,[2008. 5. 17. 8. 47. 46.703],24,B0005,442,443,00443.csv,125
446,[2008. 5. 17. 13. 43. 32.281],24,B0005,446,447,00447.csv,126
450,[2008. 5. 17. 18. 37. 55.593],24,B0005,450,451,00451.csv,127
454,[2008. 5. 17. 23. 32. 50.468],24,B0005,454,455,00455.csv,128
458,[2008. 5. 18. 4. 27. 19.656],24,B0005,458,459,00459.csv,129
462,[2008. 5. 18. 9. 22. 51.046],24,B0005,462,463,00463.csv,130
466,[2008. 5. 18. 14. 6. 39.921],24,B0005,466,467,00467.csv,131
470,[2008. 5. 18. 18. 58. 12.609],24,B0005,470,471,00471.csv,132
474,[2008. 5. 18. 23. 53. 33.781],24,B0005,474,475,00475.csv,133
478,[2008. 5. 19. 4. 48. 55.437],24,B0005,478,479,00479.csv,134
481,[2008. 5. 19. 17. 58. 12.687],24,B0005,481,482,00482.csv,135
483,[2008. 5. 19. 22. 8. 37.250],24,B0005,483,484,00484.csv,136
486,[2008. 5. 20. 2. 38. 35.343],24,B0005,486,487,00487.csv,137
490,[2008. 5. 20. 7. 33. 50.828],24,B0005,490,491,00491.csv,138
494,[2008. 5. 20. 12. 28. 58.687],24,B0005,494,495,00495.csv,139
498,[2008. 5. 20. 17. 19. 3.375],24,B0005,498,499,00499.csv,140
502,[2008. 5. 20. 22. 12. 15.984],24,B0005,502,503,00503.csv,141
506,[2008. 5. 21. 3. 1. 6.687],24,B0005,506,507,00507.csv,142
510,[2008. 5. 21. 7. 45. 45.343],24,B0005,510,511,00511.csv,143
514,[2008. 5. 21. 12. 39. 25.421],24,B0005,514,515,00515.csv,144
518,[2008. 5. 21. 17. 31. 40.671],24,B0005,518,519,00519.csv,145
522,[2008. 5. 21. 22. 23. 21.421],24,B0005,522,523,00523.csv,146
526,[2008. 5. 22. 3. 4. 11.015],24,B0005,526,527,00527.csv,147
530,[2008. 5. 22. 7. 53. 42.703],24,B0005,530,531,00531.csv,148
534,[2008. 5. 22. 12. 44. 24.687],24,B0005,534,535,00535.csv,149
538,[2008. 5. 22. 17. 39. 2.953],24,B0005,538,539,00539.csv,150
542,[2008. 5. 22. 22. 20. 44.390],24,B0005,542,543,00543.csv,151
546,[2008. 5. 23. 17. 12. 57.796],24,B0005,546,547,00547.csv,152
549,[2008. 5. 23. 21. 36. 0.750],24,B0005,549,550,00550.csv,153
553,[2008. 5. 24. 2. 30. 34.593],24,B0005,553,554,00554.csv,154
557,[2008. 5. 24. 7. 21. 25.140],24,B0005,557,558,00558.csv,155
561,[2008. 5. 24. 12. 3. 55.937],24,B0005,561,562,00562.csv,156
565,[2008. 5. 24. 16. 52. 7.875],24,B0005,565,566,00566.csv,157
569,[2008. 5. 24. 21. 42. 10.750],24,B0005,569,570,00570.csv,158
573,[2008. 5. 25. 2. 27. 37.250],24,B0005,573,574,00574.csv,159
577,[2008. 5. 25. 7. 18. 6.015],24,B0005,577,578,00578.csv,160
581,[2008. 5. 25. 12. 12. 16.578],24,B0005,581,582,00582.csv,161
585,[2008. 5. 25. 16. 57. 49.359],24,B0005,585,586,00586.csv,162
589,[2008. 5. 25. 21. 43. 40.953],24,B0005,589,590,00590.csv,163
593,[2008. 5. 26. 2. 33. 39.031],24,B0005,593,594,00594.csv,164
597,[2008. 5. 26. 7. 21. 44.953],24,B0005,597,598,00598.csv,165
601,[2008. 5. 26. 12. 5. 7.078],24,B0005,601,602,00602.csv,166
605,[2008. 5. 26. 16. 51. 13.375],24,B0005,605,606,00606.csv,167
609,[2008. 5. 26. 21. 41. 33.468],24,B0005,609,610,00610.csv,168
612,[2008. 5. 27. 17. 53. 59.765],24,B0005,612,613,00613.csv,169
615,[2008. 5. 28. 11. 9. 42.046],24,B0005,615,616,00616.csv,170
616,[2008. 4. 2. 13. 8. 17.921],24,B0006,0,617,00617.csv,1
618,[2008. 4. 2. 16. 37. 51.984],24,B0006,2,619,00619.csv,2
620,[2008. 4. 2. 20. 55. 40.812],24,B0006,4,621,00621.csv,3
622,[2008. 4. 3. 1. 12. 38.671],24,B0006,6,623,00623.csv,4
624,[2008. 4. 3. 5. 27. 49.125],24,B0006,8,625,00625.csv,5
626,[2008. 4. 3. 9. 44. 35.078],24,B0006,10,627,00627.csv,6
628,[2008. 4. 3. 14. 6. 43.234],24,B0006,12,629,00629.csv,7
630,[2008. 4. 3. 18. 28. 47.125],24,B0006,14,631,00631.csv,8
632,[2008. 4. 3. 22. 38. 27.453],24,B0006,16,633,00633.csv,9
634,[2008. 4. 4. 2. 48. 6.156],24,B0006,18,635,00635.csv,10
636,[2008. 4. 4. 6. 58. 0.296],24,B0006,20,637,00637.csv,11
638,[2008. 4. 4. 11. 6. 50.375],24,B0006,22,639,00639.csv,12
639,[2008. 4. 4. 15. 5. 59.906],24,B0006,23,640,00640.csv,13
641,[2008. 4. 4. 19. 5. 19.234],24,B0006,25,642,00642.csv,14
643,[2008. 4. 4. 23. 10. 25.421],24,B0006,27,644,00644.csv,15
645,[2008. 4. 5. 3. 28. 57.234],24,B0006,29,646,00646.csv,16
647,[2008. 4. 5. 7. 33. 12.734],24,B0006,31,648,00648.csv,17
649,[2008. 4. 5. 11. 38. 22.140],24,B0006,33,650,00650.csv,18
651,[2008. 4. 5. 15. 42. 11.531],24,B0006,35,652,00652.csv,19
653,[2008. 4. 5. 19. 46. 36.125],24,B0006,37,654,00654.csv,20
655,[2008. 4. 18. 17. 34. 22.890],24,B0006,39,656,00656.csv,21
659,[2008. 4. 18. 22. 53. 58.343],24,B0006,43,660,00660.csv,22
663,[2008. 4. 19. 4. 12. 6.343],24,B0006,47,664,00664.csv,23
667,[2008. 4. 19. 9. 29. 52.703],24,B0006,51,668,00668.csv,24
671,[2008. 4. 19. 14. 43. 41.265],24,B0006,55,672,00672.csv,25
675,[2008. 4. 19. 20. 9. 47.750],24,B0006,59,676,00676.csv,26
679,[2008. 4. 20. 1. 22. 53.953],24,B0006,63,680,00680.csv,27
683,[2008. 4. 20. 6. 35. 39.765],24,B0006,67,684,00684.csv,28
687,[2008. 4. 20. 11. 57. 8.765],24,B0006,71,688,00688.csv,29
691,[2008. 4. 20. 17. 17. 44.031],24,B0006,75,692,00692.csv,30
695,[2008. 4. 20. 22. 31. 18.046],24,B0006,79,696,00696.csv,31
699,[2008. 4. 21. 17. 51. 26.312],24,B0006,83,700,00700.csv,32
700,[2008. 4. 22. 14. 15. 41.187],24,B0006,84,701,00701.csv,33
703,[2008. 4. 22. 17. 4. 53.218],24,B0006,87,704,00704.csv,34
707,[2008. 4. 22. 21. 56. 21.406],24,B0006,91,708,00708.csv,35
711,[2008. 4. 23. 2. 47. 55.453],24,B0006,95,712,00712.csv,36
715,[2008. 4. 23. 7. 47. 54.718],24,B0006,99,716,00716.csv,37
719,[2008. 4. 23. 12. 37. 17.515],24,B0006,103,720,00720.csv,38
723,[2008. 4. 23. 17. 35. 42.828],24,B0006,107,724,00724.csv,39
727,[2008. 4. 23. 22. 32. 6.671],24,B0006,111,728,00728.csv,40
731,[2008. 4. 24. 3. 20. 23.359],24,B0006,115,732,00732.csv,41
735,[2008. 4. 24. 8. 18. 41.703],24,B0006,119,736,00736.csv,42
739,[2008. 4. 24. 13. 17. 56.250],24,B0006,123,740,00740.csv,43
743,[2008. 4. 24. 18. 14. 28.937],24,B0006,127,744,00744.csv,44
747,[2008. 4. 24. 23. 6. 34.156],24,B0006,131,748,00748.csv,45
750,[2008. 4. 25. 17. 2. 35.703],24,B0006,134,751,00751.csv,46
753,[2008. 4. 25. 21. 32. 20.468],24,B0006,137,754,00754.csv,47
757,[2008. 4. 26. 2. 32. 41.093],24,B0006,141,758,00758.csv,48
761,[2008. 4. 26. 7. 25. 23.031],24,B0006,145,762,00762.csv,49
764,[2008. 4. 28. 17. 20. 47.859],24,B0006,148,765,00765.csv,50
767,[2008. 4. 29. 13. 44. 46.546],24,B0006,151,768,00768.csv,51
771,[2008. 4. 29. 18. 34. 10.656],24,B0006,155,772,00772.csv,52
775,[2008. 4. 29. 23. 28. 20.218],24,B0006,159,776,00776.csv,53
779,[2008. 4. 30. 4. 11. 53.078],24,B0006,163,780,00780.csv,54
783,[2008. 4. 30. 9. 9. 32.281],24,B0006,167,784,00784.csv,55
787,[2008. 4. 30. 13. 56. 29.843],24,B0006,171,788,00788.csv,56
791,[2008. 4. 30. 18. 47. 57.390],24,B0006,175,792,00792.csv,57
795,[2008. 4. 30. 23. 42. 27.250],24,B0006,179,796,00796.csv,58
799,[2008. 5. 1. 4. 42. 57.703],24,B0006,183,800,00800.csv,59
803,[2008. 5. 1. 9. 43. 18.359],24,B0006,187,804,00804.csv,60
807,[2008. 5. 1. 14. 41. 41.578],24,B0006,191,808,00808.csv,61
811,[2008. 5. 1. 19. 38. 17.968],24,B0006,195,812,00812.csv,62
815,[2008. 5. 2. 0. 37. 22.234],24,B0006,199,816,00816.csv,63
819,[2008. 5. 2. 5. 20. 24.687],24,B0006,203,820,00820.csv,64
823,[2008. 5. 2. 10. 11. 31.921],24,B0006,207,824,00824.csv,65
827,[2008. 5. 2. 15. 9. 46.812],24,B0006,211,828,00828.csv,66
830,[2008. 5. 2. 20. 28. 25.781],24,B0006,214,831,00831.csv,67
833,[2008. 5. 3. 0. 50. 52.187],24,B0006,217,834,00834.csv,68
837,[2008. 5. 3. 5. 39. 33.921],24,B0006,221,838,00838.csv,69
841,[2008. 5. 3. 10. 36. 35.781],24,B0006,225,842,00842.csv,70
845,[2008. 5. 3. 15. 30. 41.640],24,B0006,229,846,00846.csv,71
849,[2008. 5. 3. 20. 24. 21.312],24,B0006,233,850,00850.csv,72
853,[2008. 5. 4. 1. 8. 29.578],24,B0006,237,854,00854.csv,73
857,[2008. 5. 4. 6. 7. 29.546],24,B0006,241,858,00858.csv,74
861,[2008. 5. 4. 11. 6. 2.078],24,B0006,245,862,00862.csv,75
865,[2008. 5. 4. 16. 3. 55.281],24,B0006,249,866,00866.csv,76
869,[2008. 5. 4. 21. 2. 41.203],24,B0006,253,870,00870.csv,77
873,[2008. 5. 5. 2. 1. 17.890],24,B0006,257,874,00874.csv,78
877,[2008. 5. 5. 6. 53. 38.406],24,B0006,261,878,00878.csv,79
880,[2008. 5. 5. 17. 40. 16.687],24,B0006,264,881,00881.csv,80
883,[2008. 5. 5. 22. 5. 32.500],24,B0006,267,884,00884.csv,81
887,[2008. 5. 6. 3. 3. 53.390],24,B0006,271,888,00888.csv,82
891,[2008. 5. 6. 8. 2. 5.062],24,B0006,275,892,00892.csv,83
895,[2008. 5. 6. 12. 50. 20.781],24,B0006,279,896,00896.csv,84
899,[2008. 5. 6. 17. 48. 34.906],24,B0006,283,900,00900.csv,85
903,[2008. 5. 6. 22. 46. 40.375],24,B0006,287,904,00904.csv,86
907,[2008. 5. 7. 3. 42. 15.750],24,B0006,291,908,00908.csv,87
911,[2008. 5. 7. 8. 28. 34.453],24,B0006,295,912,00912.csv,88
915,[2008. 5. 7. 13. 26. 13.671],24,B0006,299,916,00916.csv,89
919,[2008. 5. 7. 18. 23. 54.687],24,B0006,303,920,00920.csv,90
923,[2008. 5. 7. 23. 20. 34.515],24,B0006,307,924,00924.csv,91
930,[2008. 5. 9. 17. 26. 51.968],24,B0006,314,931,00931.csv,92
933,[2008. 5. 9. 21. 53. 0.281],24,B0006,317,934,00934.csv,93
937,[2008. 5. 10. 2. 46. 38.734],24,B0006,321,938,00938.csv,94
941,[2008. 5. 10. 7. 42. 46.312],24,B0006,325,942,00942.csv,95
945,[2008. 5. 10. 12. 40. 29.890],24,B0006,329,946,00946.csv,96
949,[2008. 5. 10. 17. 36. 13.062],24,B0006,333,950,00950.csv,97
953,[2008. 5. 10. 22. 32. 2.937],24,B0006,337,954,00954.csv,98
957,[2008. 5. 11. 3. 29. 30.359],24,B0006,341,958,00958.csv,99
961,[2008. 5. 11. 8. 19. 27.953],24,B0006,345,962,00962.csv,100
965,[2008. 5. 11. 13. 16. 38.640],24,B0006,349,966,00966.csv,101
969,[2008. 5. 11. 18. 13. 51.109],24,B0006,353,970,00970.csv,102
973,[2008. 5. 11. 23. 10. 55.875],24,B0006,357,974,00974.csv,103
977,[2008. 5. 12. 4. 0. 32.718],24,B0006,361,978,00978.csv,104
981,[2008. 5. 12. 16. 11. 11.140],24,B0006,365,982,00982.csv,105
984,[2008. 5. 12. 20. 23. 51.828],24,B0006,368,985,00985.csv,106
988,[2008. 5. 13. 1. 16. 51.859],24,B0006,372,989,00989.csv,107
992,[2008. 5. 13. 5. 58. 50.796],24,B0006,376,993,00993.csv,108
996,[2008. 5. 13. 10. 47. 1.828],24,B0006,380,997,00997.csv,109
1000,[2008. 5. 13. 15. 43. 41.296],24,B0006,384,1001,01001.csv,110
1004,[2008. 5. 13. 20. 27. 29.109],24,B0006,388,1005,01005.csv,111
1008,[2008. 5. 14. 1. 22. 34.765],24,B0006,392,1009,01009.csv,112
1012,[2008. 5. 14. 6. 18. 57.625],24,B0006,396,1013,01013.csv,113
1016,[2008. 5. 14. 11. 15. 12.671],24,B0006,400,1017,01017.csv,114
1020,[2008. 5. 14. 15. 58. 13.406],24,B0006,404,1021,01021.csv,115
1024,[2008. 5. 14. 20. 54. 30.671],24,B0006,408,1025,01025.csv,116
1028,[2008. 5. 15. 1. 50. 38.062],24,B0006,412,1029,01029.csv,117
1032,[2008. 5. 15. 6. 46. 38.500],24,B0006,416,1033,01033.csv,118
1036,[2008. 5. 15. 11. 42. 28.859],24,B0006,420,1037,01037.csv,119
1040,[2008. 5. 15. 16. 33. 24.093],24,B0006,424,1041,01041.csv,120
1044,[2008. 5. 15. 21. 19. 13.234],24,B0006,428,1045,01045.csv,121
1047,[2008. 5. 16. 18. 43. 58.906],24,B0006,431,1048,01048.csv,122
1050,[2008. 5. 16. 23. 0. 32.515],24,B0006,434,1051,01051.csv,123
1054,[2008. 5. 17. 3. 54. 49.125],24,B0006,438,1055,01055.csv,124
1058,[2008. 5. 17. 8. 47. 46.703],24,B0006,442,1059,01059.csv,125
1062,[2008. 5. 17. 13. 43. 32.281],24,B0006,446,1063,01063.csv,126
1066,[2008. 5. 17. 18. 37. 55.593],24,B0006,450,1067,01067.csv,127
1070,[2008. 5. 17. 23. 32. 50.468],24,B0006,454,1071,01071.csv,128
1074,[2008. 5. 18. 4. 27. 19.656],24,B0006,458,1075,01075.csv,129
1078,[2008. 5. 18. 9. 22. 51.046],24,B0006,462,1079,01079.csv,130
1082,[2008. 5. 18. 14. 6. 39.921],24,B0006,466,1083,01083.csv,131
1086,[2008. 5. 18. 18. 58. 12.609],24,B0006,470,1087,01087.csv,132
1090,[2008. 5. 18. 23. 53. 33.781],24,B0006,474,1091,01091.csv,133
1094,[2008. 5. 19. 4. 48. 55.437],24,B0006,478,1095,01095.csv,134
1097,[2008. 5. 19. 17. 58. 12.687],24,B0006,481,1098,01098.csv,135
1099,[2008. 5. 19. 22. 8. 37.250],24,B0006,483,1100,01100.csv,136
1102,[2008. 5. 20. 2. 38. 35.343],24,B0006,486,1103,01103.csv,137
1106,[2008. 5. 20. 7. 33. 50.828],24,B0006,490,1107,01107.csv,138
1110,[2008. 5. 20. 12. 28. 58.687],24,B0006,494,1111,01111.csv,139
1114,[2008. 5. 20. 17. 19. 3.375],24,B0006,498,1115,01115.csv,140
1118,[2008. 5. 20. 22. 12. 15.984],24,B0006,502,1119,01119.csv,141
1122,[2008. 5. 21. 3. 1. 6.687],24,B0006,506,1123,01123.csv,142
1126,[2008. 5. 21. 7. 45. 45.343],24,B0006,510,1127,01127.csv,143
1130,[2008. 5. 21. 12. 39. 25.421],24,B0006,514,1131,01131.csv,144
1134,[2008. 5. 21. 17. 31. 40.671],24,B0006,518,1135,01135.csv,145
1138,[2008. 5. 21. 22. 23. 21.421],24,B0006,522,1139,01139.csv,146
1142,[2008. 5. 22. 3. 4. 11.015],24,B0006,526,1143,01143.csv,147
1146,[2008. 5. 22. 7. 53. 42.703],24,B0006,530,1147,01147.csv,148
1150,[2008. 5. 22. 12. 44. 24.687],24,B0006,534,1151,01151.csv,149
1154,[2008. 5. 22. 17. 39. 2.953],24,B0006,538,1155,01155.csv,150
1158,[2008. 5. 22. 22. 20. 44.390],24,B0006,542,1159,01159.csv,151
1162,[2008. 5. 23. 17. 12. 57.796],24,B0006,546,1163,01163.csv,152
1165,[2008. 5. 23. 21. 36. 0.750],24,B0006,549,1166,01166.csv,153
1169,[2008. 5. 24. 2. 30. 34.593],24,B0006,553,1170,01170.csv,154
1173,[2008. 5. 24. 7. 21. 25.140],24,B0006,557,1174,01174.csv,155
1177,[2008. 5. 24. 12. 3. 55.937],24,B0006,561,1178,01178.csv,156
1181,[2008. 5. 24. 16. 52. 7.875],24,B0006,565,1182,01182.csv,157
1185,[2008. 5. 24. 21. 42. 10.750],24,B0006,569,1186,01186.csv,158
1189,[2008. 5. 25. 2. 27. 37.250],24,B0006,573,1190,01190.csv,159
1193,[2008. 5. 25. 7. 18. 6.015],24,B0006,577,1194,01194.csv,160
1197,[2008. 5. 25. 12. 12. 16.578],24,B0006,581,1198,01198.csv,161
1201,[2008. 5. 25. 16. 57. 49.359],24,B0006,585,1202,01202.csv,162
1205,[2008. 5. 25. 21. 43. 40.953],24,B0006,589,1206,01206.csv,163
1209,[2008. 5. 26. 2. 33. 39.031],24,B0006,593,1210,01210.csv,164
1213,[2008. 5. 26. 7. 21. 44.953],24,B0006,597,1214,01214.csv,165
1217,[2008. 5. 26. 12. 5. 7.078],24,B0006,601,1218,01218.csv,166
