,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,cycle_number
331,[2008. 5. 10. 16. 11. 56.109],24,B0005,331,332,00332.csv,1.5169573017136326,95
335,[2008. 5. 10. 21. 7. 54.625],24,B0005,335,336,00336.csv,1.511897596014269,96
339,[2008. 5. 11. 2. 5. 21.796],24,B0005,339,340,00340.csv,1.5065638960681105,97
343,[2008. 5. 11. 6. 55. 27.734],24,B0005,343,344,00344.csv,1.5015453526671363,98
347,[2008. 5. 11. 11. 52. 47.187],24,B0005,347,348,00348.csv,1.4908444050400238,99
351,[2008. 5. 11. 16. 49. 58.921],24,B0005,351,352,00352.csv,1.485868384561201,100
355,[2008. 5. 11. 21. 47. 12.843],24,B0005,355,356,00356.csv,1.480413677976106,101
359,[2008. 5. 12. 2. 36. 58.921],24,B0005,359,360,00360.csv,1.4752095869031632,102
363,[2008. 5. 12. 12. 56. 34.781],24,B0005,363,364,00364.csv,1.4859035988304024,103
366,[2008. 5. 12. 18. 59. 59.453],24,B0005,366,367,00367.csv,1.4960918298136696,104
370,[2008. 5. 12. 23. 53. 17.609],24,B0005,370,371,00371.csv,1.4808005946928984,105
374,[2008. 5. 13. 4. 35. 25.359],24,B0005,374,375,00375.csv,1.4697543268466824,106
378,[2008. 5. 13. 9. 24. 4.718],24,B0005,378,379,00379.csv,1.4539012274845928,107
382,[2008. 5. 13. 14. 20. 24.937],24,B0005,382,383,00383.csv,1.454146206723569,108
386,[2008. 5. 13. 19. 4. 20.531],24,B0005,386,387,00387.csv,1.455023751906683,109
390,[2008. 5. 13. 23. 59. 26.015],24,B0005,390,391,00391.csv,1.449042163761236,110
394,[2008. 5. 14. 4. 55. 57.453],24,B0005,394,395,00395.csv,1.4386709371480566,111
398,[2008. 5. 14. 9. 52. 22.062],24,B0005,398,399,00399.csv,1.433445432156979,112
402,[2008. 5. 14. 14. 35. 22.515],24,B0005,402,403,00403.csv,1.4333958900838095,113
406,[2008. 5. 14. 19. 31. 39.390],24,B0005,406,407,00407.csv,1.42806487344776,114
410,[2008. 5. 15. 0. 27. 55.625],24,B0005,410,411,00411.csv,1.4229203181741186,115
414,[2008. 5. 15. 5. 24. 4.890],24,B0005,414,415,00415.csv,1.417429032731308,116
418,[2008. 5. 15. 10. 20. 3.875],24,B0005,418,419,00419.csv,1.412409228794446,117
422,[2008. 5. 15. 15. 10. 59.437],24,B0005,422,423,00423.csv,1.412578792940193,118
426,[2008. 5. 15. 19. 56. 47.390],24,B0005,426,427,00427.csv,1.4075983731469897,119
430,[2008. 5. 16. 16. 54. 59.812],24,B0005,430,431,00431.csv,1.4333920485221476,120
432,[2008. 5. 16. 21. 37. 39.671],24,B0005,432,433,00433.csv,1.4382550176792908,121
436,[2008. 5. 17. 2. 32. 13.968],24,B0005,436,437,00437.csv,1.4173547174485526,122
440,[2008. 5. 17. 7. 25. 19.906],24,B0005,440,441,00441.csv,1.406981663677643,123
444,[2008. 5. 17. 12. 21. 15.890],24,B0005,444,445,00445.csv,1.4012037783587623,124
448,[2008. 5. 17. 17. 15. 37.281],24,B0005,448,449,00449.csv,1.3967008232726328,125
452,[2008. 5. 17. 22. 10. 51.218],24,B0005,452,453,00453.csv,1.391284788852726,126
456,[2008. 5. 18. 3. 5. 19.265],24,B0005,456,457,00457.csv,1.3862287677978349,127
460,[2008. 5. 18. 8. 0. 50.421],24,B0005,460,461,00461.csv,1.3804366761974138,128
464,[2008. 5. 18. 12. 44. 48.437],24,B0005,464,465,00465.csv,1.3752364150256224,129
468,[2008. 5. 18. 17. 36. 29.734],24,B0005,468,469,00469.csv,1.3705128024895008,130
472,[2008. 5. 18. 22. 31. 45.515],24,B0005,472,473,00473.csv,1.37050855662704,131
476,[2008. 5. 19. 3. 27. 7.765],24,B0005,476,477,00477.csv,1.3647355108681518,132
480,[2008. 5. 19. 15. 34. 33.625],24,B0005,480,481,00481.csv,1.375392016895762,133
482,[2008. 5. 19. 20. 59. 48.437],24,B0005,482,483,00483.csv,1.3861115151535393,134
484,[2008. 5. 20. 1. 16. 42.609],24,B0005,484,485,00485.csv,1.369850003583894,135
488,[2008. 5. 20. 6. 12. 6.265],24,B0005,488,489,00489.csv,1.3647827949260758,136
492,[2008. 5. 20. 11. 7. 23.453],24,B0005,492,493,00493.csv,1.3543220466259964,137
496,[2008. 5. 20. 15. 57. 27.312],24,B0005,496,497,00497.csv,1.3546417018378962,138
500,[2008. 5. 20. 20. 50. 39.015],24,B0005,500,501,00501.csv,1.354703921319241,139
504,[2008. 5. 21. 1. 39. 38.968],24,B0005,504,505,00505.csv,1.349314997503458,140
508,[2008. 5. 21. 6. 24. 27.281],24,B0005,508,509,00509.csv,1.3441891937970554,141
512,[2008. 5. 21. 11. 18. 6.015],24,B0005,512,513,00513.csv,1.3389913790695755,142
516,[2008. 5. 21. 16. 10. 21.203],24,B0005,516,517,00517.csv,1.3389145230206971,143
520,[2008. 5. 21. 21. 2. 9.781],24,B0005,520,521,00521.csv,1.3340066759761655,144
524,[2008. 5. 22. 1. 42. 59.218],24,B0005,524,525,00525.csv,1.3286444309174914,145
528,[2008. 5. 22. 6. 32. 40.921],24,B0005,528,529,00529.csv,1.323170899227622,146
532,[2008. 5. 22. 11. 23. 22.187],24,B0005,532,533,00533.csv,1.3181691588445197,147
536,[2008. 5. 22. 16. 17. 58.890],24,B0005,536,537,00537.csv,1.3184664436640334,148
540,[2008. 5. 22. 20. 59. 50.203],24,B0005,540,541,00541.csv,1.318293040102702,149
544,[2008. 5. 23. 12. 13. 16.359],24,B0005,544,545,00545.csv,1.323872422244268,150
547,[2008. 5. 23. 20. 14. 29.875],24,B0005,547,548,00548.csv,1.3601216766554785,151
551,[2008. 5. 24. 1. 9. 21.562],24,B0005,551,552,00552.csv,1.3395306867947354,152
555,[2008. 5. 24. 6. 0. 20.156],24,B0005,555,556,00556.csv,1.3290286565120697,153
559,[2008. 5. 24. 10. 42. 50.484],24,B0005,559,560,00560.csv,1.3236741274998955,154
563,[2008. 5. 24. 15. 31. 10.593],24,B0005,563,564,00564.csv,1.318633896753293,155
567,[2008. 5. 24. 20. 21. 13.437],24,B0005,567,568,00568.csv,1.3134751321324272,156
571,[2008. 5. 25. 1. 6. 49.828],24,B0005,571,572,00572.csv,1.3132020634442203,157
575,[2008. 5. 25. 5. 57. 17.890],24,B0005,575,576,00576.csv,1.3077959946944353,158
579,[2008. 5. 25. 10. 51. 37.015],24,B0005,579,580,00580.csv,1.3030329186405918,159
583,[2008. 5. 25. 15. 37. 8.890],24,B0005,583,584,00584.csv,1.3033573559038203,160
587,[2008. 5. 25. 20. 23. 4.453],24,B0005,587,588,00588.csv,1.3034100438655642,161
591,[2008. 5. 26. 1. 13. 2.796],24,B0005,591,592,00592.csv,1.2978870806495706,162
595,[2008. 5. 26. 6. 1. 8.171],24,B0005,595,596,00596.csv,1.2980735056918902,163
599,[2008. 5. 26. 10. 44. 38.468],24,B0005,599,600,00600.csv,1.293463613844243,164
603,[2008. 5. 26. 15. 30. 43.968],24,B0005,603,604,00604.csv,1.288003392619118,165
607,[2008. 5. 26. 20. 21. 4.921],24,B0005,607,608,00608.csv,1.2874525221379407,166
611,[2008. 5. 27. 15. 52. 41.359],24,B0005,611,612,00612.csv,1.3090153642307354,167
613,[2008. 5. 27. 20. 45. 42.125],24,B0005,613,614,00614.csv,1.3250793286429356,168
617,[2008. 4. 2. 15. 25. 41.593],24,B0006,1,618,00618.csv,2.035337591005598,1
619,[2008. 4. 2. 19. 43. 48.406],24,B0006,3,620,00620.csv,2.025140246031412,2
621,[2008. 4. 3. 0. 1. 6.687],24,B0006,5,622,00622.csv,2.013326371345464,3
623,[2008. 4. 3. 4. 16. 37.375],24,B0006,7,624,00624.csv,2.0132846655407413,4
625,[2008. 4. 3. 8. 33. 25.703],24,B0006,9,626,00626.csv,2.000528337624771,5
627,[2008. 4. 3. 12. 55. 10.687],24,B0006,11,628,00628.csv,2.0138990759931645,6
629,[2008. 4. 3. 17. 17. 16.015],24,B0006,13,630,00630.csv,2.013101105626967,7
631,[2008. 4. 3. 21. 28. 14.718],24,B0006,15,632,00632.csv,1.96878982627284,8
633,[2008. 4. 4. 1. 38. 15.218],24,B0006,17,634,00634.csv,1.9681661764334244,9
635,[2008. 4. 4. 5. 48. 8.609],24,B0006,19,636,00636.csv,1.9572307917560536,10
637,[2008. 4. 4. 9. 57. 19.765],24,B0006,21,638,00638.csv,1.9455991514129352,11
640,[2008. 4. 4. 17. 56. 27.609],24,B0006,24,641,00641.csv,1.934750504484113,12
642,[2008. 4. 4. 22. 1. 54.671],24,B0006,26,643,00643.csv,1.9232799539368028,13
644,[2008. 4. 5. 2. 20. 26.703],24,B0006,28,645,00645.csv,1.911889930948487,14
646,[2008. 4. 5. 6. 25. 1.890],24,B0006,30,647,00647.csv,1.9010667141979305,15
648,[2008. 4. 5. 10. 30. 32.312],24,B0006,32,649,00649.csv,1.8891989948061456,16
650,[2008. 4. 5. 14. 34. 41.468],24,B0006,34,651,00651.csv,1.878278372248849,17
652,[2008. 4. 5. 18. 39. 25.218],24,B0006,36,653,00653.csv,1.8675697161520208,18
654,[2008. 4. 5. 22. 46. 35.484],24,B0006,38,655,00655.csv,1.8675892574453767,19
657,[2008. 4. 18. 21. 10. 19.796],24,B0006,41,658,00658.csv,1.979626548250818,20
661,[2008. 4. 19. 2. 29. 9.000],24,B0006,45,662,00662.csv,1.9575499080884025,21
665,[2008. 4. 19. 7. 47. 15.703],24,B0006,49,666,00666.csv,1.9458150170787551,22
669,[2008. 4. 19. 13. 1. 42.562],24,B0006,53,670,00670.csv,1.9242461121680092,23
673,[2008. 4. 19. 18. 27. 29.828],24,B0006,57,674,00674.csv,1.945981133142164,24
677,[2008. 4. 19. 23. 41. 55.687],24,B0006,61,678,00678.csv,1.901407930553079,25
681,[2008. 4. 20. 4. 54. 41.734],24,B0006,65,682,00682.csv,1.878674213680085,26
685,[2008. 4. 20. 10. 16. 28.859],24,B0006,69,686,00686.csv,1.8683061328264217,27
689,[2008. 4. 20. 15. 37. 5.281],24,B0006,73,690,00690.csv,1.8560244070083,28
693,[2008. 4. 20. 20. 50. 38.921],24,B0006,77,694,00694.csv,1.8451997961855775,29
697,[2008. 4. 21. 2. 15. 2.921],24,B0006,81,698,00698.csv,1.857228890885317,30
701,[2008. 4. 22. 15. 33. 49.875],24,B0006,85,702,00702.csv,1.9247760889090637,31
705,[2008. 4. 22. 20. 26. 18.921],24,B0006,89,706,00706.csv,1.8822317526092551,32
709,[2008. 4. 23. 1. 18. 11.796],24,B0006,93,710,00710.csv,1.855276687885587,33
713,[2008. 4. 23. 6. 18. 19.921],24,B0006,97,714,00714.csv,1.839250891718188,34
717,[2008. 4. 23. 11. 8. 0.312],24,B0006,101,718,00718.csv,1.8185396073994429,35
721,[2008. 4. 23. 16. 6. 25.171],24,B0006,105,722,00722.csv,1.8134770059567056,36
725,[2008. 4. 23. 21. 2. 58.296],24,B0006,109,726,00726.csv,1.7971018450305436,37
729,[2008. 4. 24. 1. 51. 33.890],24,B0006,113,730,00730.csv,1.7810046294120476,38
733,[2008. 4. 24. 6. 50. 0.031],24,B0006,117,734,00734.csv,1.7710130422682329,39
737,[2008. 4. 24. 11. 49. 24.281],24,B0006,121,738,00738.csv,1.7604712448170945,40
741,[2008. 4. 24. 16. 45. 56.015],24,B0006,125,742,00742.csv,1.7502913788006589,41
745,[2008. 4. 24. 21. 38. 11.078],24,B0006,129,746,00746.csv,1.7394925037732578,42
749,[2008. 4. 25. 12. 3. 44.093],24,B0006,133,750,00750.csv,1.7546766553637203,43
751,[2008. 4. 25. 20. 3. 55.921],24,B0006,135,752,00752.csv,1.7659390941842177,44
755,[2008. 4. 26. 1. 4. 35.718],24,B0006,139,756,00756.csv,1.7337887419624838,45
759,[2008. 4. 26. 5. 57. 35.140],24,B0006,143,760,00760.csv,1.713325912040734,46
763,[2008. 4. 26. 10. 58. 25.843],24,B0006,147,764,00764.csv,1.7024077813673466,47
765,[2008. 4. 29. 12. 15. 56.953],24,B0006,149,766,00766.csv,1.82371946178183,48
769,[2008. 4. 29. 17. 5. 27.781],24,B0006,153,770,00770.csv,1.8081284050314708,49
773,[2008. 4. 29. 22. 0. 4.750],24,B0006,157,774,00774.csv,1.7757610945034283,50
777,[2008. 4. 30. 2. 43. 55.312],24,B0006,161,778,00778.csv,1.7447409841836798,51
781,[2008. 4. 30. 7. 41. 42.578],24,B0006,165,782,00782.csv,1.729207034132373,52
785,[2008. 4. 30. 12. 28. 49.265],24,B0006,169,786,00786.csv,1.7081086552553244,53
789,[2008. 4. 30. 17. 20. 16.140],24,B0006,173,790,00790.csv,1.6975954237461768,54
793,[2008. 4. 30. 22. 14. 54.062],24,B0006,177,794,00794.csv,1.6820634524029463,55
797,[2008. 5. 1. 3. 15. 33.140],24,B0006,181,798,00798.csv,1.6714768322295086,56
801,[2008. 5. 1. 8. 16. 3.343],24,B0006,185,802,00802.csv,1.6607591387047655,57
805,[2008. 5. 1. 13. 14. 24.875],24,B0006,189,806,00806.csv,1.651121015038069,58
809,[2008. 5. 1. 18. 11. 10.984],24,B0006,193,810,00810.csv,1.640134925619093,59
813,[2008. 5. 1. 23. 10. 15.265],24,B0006,197,814,00814.csv,1.629199941616544,60
817,[2008. 5. 2. 3. 53. 34.765],24,B0006,201,818,00818.csv,1.6088496302961666,61
821,[2008. 5. 2. 8. 44. 40.859],24,B0006,205,822,00822.csv,1.6035244898969248,62
825,[2008. 5. 2. 13. 43. 5.093],24,B0006,209,826,00826.csv,1.5989712144027983,63
829,[2008. 5. 2. 19. 7. 48.359],24,B0006,213,830,00830.csv,1.5876273123575604,64
831,[2008. 5. 2. 23. 24. 17.687],24,B0006,215,832,00832.csv,1.5829719744686166,65
835,[2008. 5. 3. 4. 13. 8.609],24,B0006,219,836,00836.csv,1.567137636713563,66
839,[2008. 5. 3. 9. 10. 19.812],24,B0006,223,840,00840.csv,1.5613446139713882,67
843,[2008. 5. 3. 14. 4. 34.187],24,B0006,227,844,00844.csv,1.551171189279042,68
847,[2008. 5. 3. 18. 58. 13.468],24,B0006,231,848,00848.csv,1.5406741606295171,69
851,[2008. 5. 3. 23. 42. 30.093],24,B0006,235,852,00852.csv,1.5253138744624433,70
855,[2008. 5. 4. 4. 41. 40.000],24,B0006,239,856,00856.csv,1.5301570318067428,71
859,[2008. 5. 4. 9. 40. 11.906],24,B0006,243,860,00860.csv,1.524656683447409,72
863,[2008. 5. 4. 14. 38. 13.359],24,B0006,247,864,00864.csv,1.5145492986655429,73
867,[2008. 5. 4. 19. 37. 7.890],24,B0006,251,868,00868.csv,1.509391504602082,74
871,[2008. 5. 5. 0. 35. 53.968],24,B0006,255,872,00872.csv,1.5039974333050703,75
875,[2008. 5. 5. 5. 28. 13.937],24,B0006,259,876,00876.csv,1.4935201918040188,76
879,[2008. 5. 5. 11. 41. 31.500],24,B0006,263,880,00880.csv,1.4876323024497422,77
881,[2008. 5. 5. 20. 40. 8.562],24,B0006,265,882,00882.csv,1.5302876214401704,78
885,[2008. 5. 6. 1. 38. 46.265],24,B0006,269,886,00886.csv,1.5040760088360112,79
889,[2008. 5. 6. 6. 37. 6.296],24,B0006,273,890,00890.csv,1.4887593608730894,80
893,[2008. 5. 6. 11. 25. 21.031],24,B0006,277,894,00894.csv,1.4782779285546637,81
897,[2008. 5. 6. 16. 23. 36.296],24,B0006,281,898,00898.csv,1.478459982215684,82
901,[2008. 5. 6. 21. 21. 49.265],24,B0006,285,902,00902.csv,1.473214844899973,83
905,[2008. 5. 7. 2. 17. 25.156],24,B0006,289,906,00906.csv,1.4675164935067897,84
909,[2008. 5. 7. 7. 4. 2.109],24,B0006,293,910,00910.csv,1.4516292657521337,85
913,[2008. 5. 7. 12. 1. 49.906],24,B0006,297,914,00914.csv,1.4519237720967175,86
917,[2008. 5. 7. 16. 59. 29.937],24,B0006,301,918,00918.csv,1.4471484694777743,87
921,[2008. 5. 7. 21. 56. 9.656],24,B0006,305,922,00922.csv,1.4468538105659885,88
925,[2008. 5. 8. 2. 53. 49.937],24,B0006,309,926,00926.csv,1.4416741930284678,89
928,[2008. 5. 9. 12. 25. 7.000],24,B0006,312,929,00929.csv,1.5935866593100128,90
931,[2008. 5. 9. 20. 28. 9.734],24,B0006,315,932,00932.csv,1.5463902376915637,91
935,[2008. 5. 10. 1. 21. 56.500],24,B0006,319,936,00936.csv,1.51470559175661,92
939,[2008. 5. 10. 6. 18. 12.000],24,B0006,323,940,00940.csv,1.4989786083335404,93
943,[2008. 5. 10. 11. 16. 4.843],24,B0006,327,944,00944.csv,1.4831110745410492,94
947,[2008. 5. 10. 16. 11. 56.109],24,B0006,331,948,00948.csv,1.4729664825468278,95
951,[2008. 5. 10. 21. 7. 54.625],24,B0006,335,952,00952.csv,1.4627604396099307,96
955,[2008. 5. 11. 2. 5. 21.796],24,B0006,339,956,00956.csv,1.4518364681062514,97
959,[2008. 5. 11. 6. 55. 27.734],24,B0006,343,960,00960.csv,1.4468670644030392,98
963,[2008. 5. 11. 11. 52. 47.187],24,B0006,347,964,00964.csv,1.441380399427779,99
967,[2008. 5. 11. 16. 49. 58.921],24,B0006,351,968,00968.csv,1.431210744960774,100
971,[2008. 5. 11. 21. 47. 12.843],24,B0006,355,972,00972.csv,1.4260247179525716,101
975,[2008. 5. 12. 2. 36. 58.921],24,B0006,359,976,00976.csv,1.420487649966195,102
979,[2008. 5. 12. 12. 56. 34.781],24,B0006,363,980,00980.csv,1.4207006230355006,103
982,[2008. 5. 12. 18. 59. 59.453],24,B0006,366,983,00983.csv,1.452255804330839,104
986,[2008. 5. 12. 23. 53. 17.609],24,B0006,370,987,00987.csv,1.431557632772571,105
990,[2008. 5. 13. 4. 35. 25.359],24,B0006,374,991,00991.csv,1.415015751158943,106
994,[2008. 5. 13. 9. 24. 4.718],24,B0006,378,995,00995.csv,1.4097311506517451,107
998,[2008. 5. 13. 14. 20. 24.937],24,B0006,382,999,00999.csv,1.404917318129309,108
1002,[2008. 5. 13. 19. 4. 20.531],24,B0006,386,1003,01003.csv,1.395164296571563,109
1006,[2008. 5. 13. 23. 59. 26.015],24,B0006,390,1007,01007.csv,1.3945343832614077,110
1010,[2008. 5. 14. 4. 55. 57.453],24,B0006,394,1011,01011.csv,1.3893171179312644,111
1014,[2008. 5. 14. 9. 52. 22.062],24,B0006,398,1015,01015.csv,1.3838379472327809,112
