Unnamed: 0,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,cycle_number,datetime,delta_time,SOH
147,"[2008.0, 4.0, 26.0, 10.0, 58.0, 25.843]",24,B0005,147,148,00148.csv,1.7360913511847138,47,2008-04-26 10:58:25.843,2057564.25,0.8680456755923569
149,"[2008.0, 4.0, 29.0, 12.0, 15.0, 56.953]",24,B0005,149,150,00150.csv,1.7936240148573608,48,2008-04-29 12:15:56.953,2321415.36,0.8968120074286804
153,"[2008.0, 4.0, 29.0, 17.0, 5.0, 27.781]",24,B0005,153,154,00154.csv,1.7831890223273277,49,2008-04-29 17:05:27.781,2338786.188,0.8915945111636638
157,"[2008.0, 4.0, 29.0, 22.0, 0.0, 4.75]",24,B0005,157,158,00158.csv,1.7673642076278957,50,2008-04-29 22:00:04.750,2356463.157,0.8836821038139479
161,"[2008.0, 4.0, 30.0, 2.0, 43.0, 55.312]",24,B0005,161,162,00162.csv,1.7570177850353066,51,2008-04-30 02:43:55.312,2373493.719,0.8785088925176532
165,"[2008.0, 4.0, 30.0, 7.0, 41.0, 42.578]",24,B0005,165,166,00166.csv,1.7468706179837907,52,2008-04-30 07:41:42.578,2391360.985,0.8734353089918954
169,"[2008.0, 4.0, 30.0, 12.0, 28.0, 49.265]",24,B0005,169,170,00170.csv,1.7417172507457144,53,2008-04-30 12:28:49.265,2408587.672,0.8708586253728572
173,"[2008.0, 4.0, 30.0, 17.0, 20.0, 16.14]",24,B0005,173,174,00174.csv,1.7364225056478186,54,2008-04-30 17:20:16.140,2426074.547,0.8682112528239094
177,"[2008.0, 4.0, 30.0, 22.0, 14.0, 54.062]",24,B0005,177,178,00178.csv,1.7263217239235826,55,2008-04-30 22:14:54.062,2443752.469,0.8631608619617913
181,"[2008.0, 5.0, 1.0, 3.0, 15.0, 33.14]",24,B0005,181,182,00182.csv,1.7158065389330133,56,2008-05-01 03:15:33.140,2461791.547,0.8579032694665066
185,"[2008.0, 5.0, 1.0, 8.0, 16.0, 3.343]",24,B0005,185,186,00186.csv,1.710533351135192,57,2008-05-01 08:16:03.343,2479821.75,0.855266675567596
189,"[2008.0, 5.0, 1.0, 13.0, 14.0, 24.875]",24,B0005,189,190,00190.csv,1.706014499648521,58,2008-05-01 13:14:24.875,2497723.282,0.8530072498242605
193,"[2008.0, 5.0, 1.0, 18.0, 11.0, 10.984]",24,B0005,193,194,00194.csv,1.7003110272642588,59,2008-05-01 18:11:10.984,2515529.391,0.8501555136321294
197,"[2008.0, 5.0, 1.0, 23.0, 10.0, 15.265]",24,B0005,197,198,00198.csv,1.6945798601797897,60,2008-05-01 23:10:15.265,2533473.672,0.8472899300898947
201,"[2008.0, 5.0, 2.0, 3.0, 53.0, 34.765]",24,B0005,201,202,00202.csv,1.6849029086609286,61,2008-05-02 03:53:34.765,2550473.172,0.8424514543304643
205,"[2008.0, 5.0, 2.0, 8.0, 44.0, 40.859]",24,B0005,205,206,00206.csv,1.6744741591159715,62,2008-05-02 08:44:40.859,2567939.266,0.8372370795579858
209,"[2008.0, 5.0, 2.0, 13.0, 43.0, 5.093]",24,B0005,209,210,00210.csv,1.6745692479879102,63,2008-05-02 13:43:05.093,2585843.5,0.8372846239939551
213,"[2008.0, 5.0, 2.0, 19.0, 7.0, 48.359]",24,B0005,213,214,00214.csv,1.663716375981405,64,2008-05-02 19:07:48.359,2605326.766,0.8318581879907027
215,"[2008.0, 5.0, 2.0, 23.0, 24.0, 17.687]",24,B0005,215,216,00216.csv,1.659013868748246,65,2008-05-02 23:24:17.687,2620716.094,0.8295069343741229
219,"[2008.0, 5.0, 3.0, 4.0, 13.0, 8.609]",24,B0005,219,220,00220.csv,1.6538540573335014,66,2008-05-03 04:13:08.609,2638047.016,0.8269270286667507
223,"[2008.0, 5.0, 3.0, 9.0, 10.0, 19.812]",24,B0005,223,224,00224.csv,1.642653782130131,67,2008-05-03 09:10:19.812,2655878.219,0.8213268910650655
227,"[2008.0, 5.0, 3.0, 14.0, 4.0, 34.187]",24,B0005,227,228,00228.csv,1.6378578430223698,68,2008-05-03 14:04:34.187,2673532.594,0.8189289215111849
231,"[2008.0, 5.0, 3.0, 18.0, 58.0, 13.468]",24,B0005,231,232,00232.csv,1.6327350407099108,69,2008-05-03 18:58:13.468,2691151.875,0.8163675203549555
235,"[2008.0, 5.0, 3.0, 23.0, 42.0, 30.093]",24,B0005,235,236,00236.csv,1.6277528915533617,70,2008-05-03 23:42:30.093,2708208.5,0.8138764457766808
239,"[2008.0, 5.0, 4.0, 4.0, 41.0, 40.0]",24,B0005,239,240,00240.csv,1.622125485521159,71,2008-05-04 04:41:40.000,2726158.407,0.8110627427605795
243,"[2008.0, 5.0, 4.0, 9.0, 40.0, 11.906]",24,B0005,243,244,00244.csv,1.6113256603765849,72,2008-05-04 09:40:11.906,2744070.313,0.8056628301882924
247,"[2008.0, 5.0, 4.0, 14.0, 38.0, 13.359]",24,B0005,247,248,00248.csv,1.6065631397488385,73,2008-05-04 14:38:13.359,2761951.766,0.8032815698744193
251,"[2008.0, 5.0, 4.0, 19.0, 37.0, 7.89]",24,B0005,251,252,00252.csv,1.6015142233917594,74,2008-05-04 19:37:07.890,2779886.297,0.8007571116958797
255,"[2008.0, 5.0, 5.0, 0.0, 35.0, 53.968]",24,B0005,255,256,00256.csv,1.590369231400328,75,2008-05-05 00:35:53.968,2797812.375,0.795184615700164
259,"[2008.0, 5.0, 5.0, 5.0, 28.0, 13.937]",24,B0005,259,260,00260.csv,1.5857889968242211,76,2008-05-05 05:28:13.937,2815352.344,0.7928944984121106
263,"[2008.0, 5.0, 5.0, 11.0, 41.0, 31.5]",24,B0005,263,264,00264.csv,1.5849430707374117,77,2008-05-05 11:41:31.500,2837749.907,0.7924715353687058
265,"[2008.0, 5.0, 5.0, 20.0, 40.0, 8.562]",24,B0005,265,266,00266.csv,1.5955263892495937,78,2008-05-05 20:40:08.562,2870066.969,0.7977631946247967
269,"[2008.0, 5.0, 6.0, 1.0, 38.0, 46.265]",24,B0005,269,270,00270.csv,1.5747301747801037,79,2008-05-06 01:38:46.265,2887984.672,0.7873650873900518
273,"[2008.0, 5.0, 6.0, 6.0, 37.0, 6.296]",24,B0005,273,274,00274.csv,1.5649019950937946,80,2008-05-06 06:37:06.296,2905884.703,0.7824509975468973
277,"[2008.0, 5.0, 6.0, 11.0, 25.0, 21.031]",24,B0005,277,278,00278.csv,1.5597659473370362,81,2008-05-06 11:25:21.031,2923179.438,0.7798829736685181
281,"[2008.0, 5.0, 6.0, 16.0, 23.0, 36.296]",24,B0005,281,282,00282.csv,1.5594815668184234,82,2008-05-06 16:23:36.296,2941074.703,0.7797407834092117
285,"[2008.0, 5.0, 6.0, 21.0, 21.0, 49.265]",24,B0005,285,286,00286.csv,1.55468935359061,83,2008-05-06 21:21:49.265,2958967.672,0.777344676795305
289,"[2008.0, 5.0, 7.0, 2.0, 17.0, 25.156]",24,B0005,289,290,00290.csv,1.5488741079890418,84,2008-05-07 02:17:25.156,2976703.563,0.7744370539945209
293,"[2008.0, 5.0, 7.0, 7.0, 4.0, 2.109]",24,B0005,293,294,00294.csv,1.538236598942558,85,2008-05-07 07:04:02.109,2993900.516,0.769118299471279
297,"[2008.0, 5.0, 7.0, 12.0, 1.0, 49.906]",24,B0005,297,298,00298.csv,1.527914258251028,86,2008-05-07 12:01:49.906,3011768.313,0.7639571291255138
301,"[2008.0, 5.0, 7.0, 16.0, 59.0, 29.937]",24,B0005,301,302,00302.csv,1.5285252629756445,87,2008-05-07 16:59:29.937,3029628.344,0.7642626314878223
305,"[2008.0, 5.0, 7.0, 21.0, 56.0, 9.656]",24,B0005,305,306,00306.csv,1.522647325284378,88,2008-05-07 21:56:09.656,3047428.063,0.761323662642189
309,"[2008.0, 5.0, 8.0, 2.0, 53.0, 49.937]",24,B0005,309,310,00310.csv,1.5174859938489869,89,2008-05-08 02:53:49.937,3065288.344,0.7587429969244934
312,"[2008.0, 5.0, 9.0, 12.0, 25.0, 7.0]",24,B0005,312,313,00313.csv,1.605818899130659,90,2008-05-09 12:25:07.000,3185965.407,0.8029094495653295
315,"[2008.0, 5.0, 9.0, 20.0, 28.0, 9.734]",24,B0005,315,316,00316.csv,1.5638491446744425,91,2008-05-09 20:28:09.734,3214948.141,0.7819245723372212
319,"[2008.0, 5.0, 10.0, 1.0, 21.0, 56.5]",24,B0005,319,320,00320.csv,1.5480915247767786,92,2008-05-10 01:21:56.500,3232574.907,0.7740457623883893
323,"[2008.0, 5.0, 10.0, 6.0, 18.0, 12.0]",24,B0005,323,324,00324.csv,1.5323755631868592,93,2008-05-10 06:18:12.000,3250350.407,0.7661877815934297
327,"[2008.0, 5.0, 10.0, 11.0, 16.0, 4.843]",24,B0005,327,328,00328.csv,1.5269528268489705,94,2008-05-10 11:16:04.843,3268223.25,0.7634764134244852
331,"[2008.0, 5.0, 10.0, 16.0, 11.0, 56.109]",24,B0005,331,332,00332.csv,1.5169573017136326,95,2008-05-10 16:11:56.109,3285974.516,0.7584786508568163
335,"[2008.0, 5.0, 10.0, 21.0, 7.0, 54.625]",24,B0005,335,336,00336.csv,1.511897596014269,96,2008-05-10 21:07:54.625,3303733.032,0.7559487980071345
339,"[2008.0, 5.0, 11.0, 2.0, 5.0, 21.796]",24,B0005,339,340,00340.csv,1.5065638960681105,97,2008-05-11 02:05:21.796,3321580.203,0.7532819480340552
343,"[2008.0, 5.0, 11.0, 6.0, 55.0, 27.734]",24,B0005,343,344,00344.csv,1.5015453526671363,98,2008-05-11 06:55:27.734,3338986.141,0.7507726763335681
347,"[2008.0, 5.0, 11.0, 11.0, 52.0, 47.187]",24,B0005,347,348,00348.csv,1.4908444050400238,99,2008-05-11 11:52:47.187,3356825.594,0.7454222025200119
351,"[2008.0, 5.0, 11.0, 16.0, 49.0, 58.921]",24,B0005,351,352,00352.csv,1.485868384561201,100,2008-05-11 16:49:58.921,3374657.328,0.7429341922806006
355,"[2008.0, 5.0, 11.0, 21.0, 47.0, 12.843]",24,B0005,355,356,00356.csv,1.480413677976106,101,2008-05-11 21:47:12.843,3392491.25,0.7402068389880528
359,"[2008.0, 5.0, 12.0, 2.0, 36.0, 58.921]",24,B0005,359,360,00360.csv,1.4752095869031632,102,2008-05-12 02:36:58.921,3409877.328,0.7376047934515816
363,"[2008.0, 5.0, 12.0, 12.0, 56.0, 34.781]",24,B0005,363,364,00364.csv,1.4859035988304024,103,2008-05-12 12:56:34.781,3447053.188,0.7429517994152012
366,"[2008.0, 5.0, 12.0, 18.0, 59.0, 59.453]",24,B0005,366,367,00367.csv,1.4960918298136696,104,2008-05-12 18:59:59.453,3468857.86,0.7480459149068348
370,"[2008.0, 5.0, 12.0, 23.0, 53.0, 17.609]",24,B0005,370,371,00371.csv,1.4808005946928984,105,2008-05-12 23:53:17.609,3486456.016,0.7404002973464492
374,"[2008.0, 5.0, 13.0, 4.0, 35.0, 25.359]",24,B0005,374,375,00375.csv,1.4697543268466824,106,2008-05-13 04:35:25.359,3503383.766,0.7348771634233412
378,"[2008.0, 5.0, 13.0, 9.0, 24.0, 4.718]",24,B0005,378,379,00379.csv,1.4539012274845928,107,2008-05-13 09:24:04.718,3520703.125,0.7269506137422964
382,"[2008.0, 5.0, 13.0, 14.0, 20.0, 24.937]",24,B0005,382,383,00383.csv,1.454146206723569,108,2008-05-13 14:20:24.937,3538483.344,0.7270731033617845
386,"[2008.0, 5.0, 13.0, 19.0, 4.0, 20.531]",24,B0005,386,387,00387.csv,1.455023751906683,109,2008-05-13 19:04:20.531,3555518.938,0.7275118759533415
390,"[2008.0, 5.0, 13.0, 23.0, 59.0, 26.015]",24,B0005,390,391,00391.csv,1.449042163761236,110,2008-05-13 23:59:26.015,3573224.422,0.724521081880618
394,"[2008.0, 5.0, 14.0, 4.0, 55.0, 57.453]",24,B0005,394,395,00395.csv,1.4386709371480566,111,2008-05-14 04:55:57.453,3591015.86,0.7193354685740283
398,"[2008.0, 5.0, 14.0, 9.0, 52.0, 22.062]",24,B0005,398,399,00399.csv,1.433445432156979,112,2008-05-14 09:52:22.062,3608800.469,0.7167227160784894
402,"[2008.0, 5.0, 14.0, 14.0, 35.0, 22.515]",24,B0005,402,403,00403.csv,1.4333958900838095,113,2008-05-14 14:35:22.515,3625780.922,0.7166979450419048
406,"[2008.0, 5.0, 14.0, 19.0, 31.0, 39.39]",24,B0005,406,407,00407.csv,1.42806487344776,114,2008-05-14 19:31:39.390,3643557.797,0.7140324367238801
410,"[2008.0, 5.0, 15.0, 0.0, 27.0, 55.625]",24,B0005,410,411,00411.csv,1.4229203181741186,115,2008-05-15 00:27:55.625,3661334.032,0.7114601590870593
414,"[2008.0, 5.0, 15.0, 5.0, 24.0, 4.89]",24,B0005,414,415,00415.csv,1.417429032731308,116,2008-05-15 05:24:04.890,3679103.297,0.708714516365654
418,"[2008.0, 5.0, 15.0, 10.0, 20.0, 3.875]",24,B0005,418,419,00419.csv,1.412409228794446,117,2008-05-15 10:20:03.875,3696862.282,0.706204614397223
422,"[2008.0, 5.0, 15.0, 15.0, 10.0, 59.437]",24,B0005,422,423,00423.csv,1.412578792940193,118,2008-05-15 15:10:59.437,3714317.844,0.7062893964700965
426,"[2008.0, 5.0, 15.0, 19.0, 56.0, 47.39]",24,B0005,426,427,00427.csv,1.4075983731469897,119,2008-05-15 19:56:47.390,3731465.797,0.7037991865734948
430,"[2008.0, 5.0, 16.0, 16.0, 54.0, 59.812]",24,B0005,430,431,00431.csv,1.4333920485221476,120,2008-05-16 16:54:59.812,3806958.219,0.7166960242610739
432,"[2008.0, 5.0, 16.0, 21.0, 37.0, 39.671]",24,B0005,432,433,00433.csv,1.4382550176792908,121,2008-05-16 21:37:39.671,3823918.078,0.7191275088396454
436,"[2008.0, 5.0, 17.0, 2.0, 32.0, 13.968]",24,B0005,436,437,00437.csv,1.4173547174485526,122,2008-05-17 02:32:13.968,3841592.375,0.7086773587242763
440,"[2008.0, 5.0, 17.0, 7.0, 25.0, 19.906]",24,B0005,440,441,00441.csv,1.406981663677643,123,2008-05-17 07:25:19.906,3859178.313,0.7034908318388216
444,"[2008.0, 5.0, 17.0, 12.0, 21.0, 15.89]",24,B0005,444,445,00445.csv,1.4012037783587623,124,2008-05-17 12:21:15.890,3876934.297,0.7006018891793812
448,"[2008.0, 5.0, 17.0, 17.0, 15.0, 37.281]",24,B0005,448,449,00449.csv,1.3967008232726328,125,2008-05-17 17:15:37.281,3894595.688,0.6983504116363164
452,"[2008.0, 5.0, 17.0, 22.0, 10.0, 51.218]",24,B0005,452,453,00453.csv,1.391284788852726,126,2008-05-17 22:10:51.218,3912309.625,0.6956423944263631
456,"[2008.0, 5.0, 18.0, 3.0, 5.0, 19.265]",24,B0005,456,457,00457.csv,1.3862287677978349,127,2008-05-18 03:05:19.265,3929977.672,0.6931143838989174
460,"[2008.0, 5.0, 18.0, 8.0, 0.0, 50.421]",24,B0005,460,461,00461.csv,1.3804366761974138,128,2008-05-18 08:00:50.421,3947708.828,0.6902183380987068
464,"[2008.0, 5.0, 18.0, 12.0, 44.0, 48.437]",24,B0005,464,465,00465.csv,1.3752364150256224,129,2008-05-18 12:44:48.437,3964746.844,0.6876182075128112
468,"[2008.0, 5.0, 18.0, 17.0, 36.0, 29.734]",24,B0005,468,469,00469.csv,1.3705128024895008,130,2008-05-18 17:36:29.734,3982248.141,0.6852564012447505
472,"[2008.0, 5.0, 18.0, 22.0, 31.0, 45.515]",24,B0005,472,473,00473.csv,1.37050855662704,131,2008-05-18 22:31:45.515,3999963.922,0.68525427831352
476,"[2008.0, 5.0, 19.0, 3.0, 27.0, 7.765]",24,B0005,476,477,00477.csv,1.3647355108681518,132,2008-05-19 03:27:07.765,4017686.172,0.6823677554340759
480,"[2008.0, 5.0, 19.0, 15.0, 34.0, 33.625]",24,B0005,480,481,00481.csv,1.375392016895762,133,2008-05-19 15:34:33.625,4061332.032,0.687696008447881
482,"[2008.0, 5.0, 19.0, 20.0, 59.0, 48.437]",24,B0005,482,483,00483.csv,1.3861115151535393,134,2008-05-19 20:59:48.437,4080846.844,0.6930557575767696
484,"[2008.0, 5.0, 20.0, 1.0, 16.0, 42.609]",24,B0005,484,485,00485.csv,1.369850003583894,135,2008-05-20 01:16:42.609,4096261.016,0.684925001791947
488,"[2008.0, 5.0, 20.0, 6.0, 12.0, 6.265]",24,B0005,488,489,00489.csv,1.3647827949260758,136,2008-05-20 06:12:06.265,4113984.672,0.6823913974630379
492,"[2008.0, 5.0, 20.0, 11.0, 7.0, 23.453]",24,B0005,492,493,00493.csv,1.3543220466259964,137,2008-05-20 11:07:23.453,4131701.86,0.6771610233129982
496,"[2008.0, 5.0, 20.0, 15.0, 57.0, 27.312]",24,B0005,496,497,00497.csv,1.3546417018378962,138,2008-05-20 15:57:27.312,4149105.719,0.6773208509189481
500,"[2008.0, 5.0, 20.0, 20.0, 50.0, 39.015]",24,B0005,500,501,00501.csv,1.354703921319241,139,2008-05-20 20:50:39.015,4166697.422,0.6773519606596204
504,"[2008.0, 5.0, 21.0, 1.0, 39.0, 38.968]",24,B0005,504,505,00505.csv,1.349314997503458,140,2008-05-21 01:39:38.968,4184037.375,0.6746574987517291
508,"[2008.0, 5.0, 21.0, 6.0, 24.0, 27.281]",24,B0005,508,509,00509.csv,1.3441891937970554,141,2008-05-21 06:24:27.281,4201125.688,0.6720945968985277
512,"[2008.0, 5.0, 21.0, 11.0, 18.0, 6.015]",24,B0005,512,513,00513.csv,1.3389913790695755,142,2008-05-21 11:18:06.015,4218744.422,0.6694956895347878
516,"[2008.0, 5.0, 21.0, 16.0, 10.0, 21.203]",24,B0005,516,517,00517.csv,1.3389145230206971,143,2008-05-21 16:10:21.203,4236279.61,0.6694572615103486
520,"[2008.0, 5.0, 21.0, 21.0, 2.0, 9.781]",24,B0005,520,521,00521.csv,1.3340066759761655,144,2008-05-21 21:02:09.781,4253788.188,0.6670033379880828
524,"[2008.0, 5.0, 22.0, 1.0, 42.0, 59.218]",24,B0005,524,525,00525.csv,1.3286444309174914,145,2008-05-22 01:42:59.218,4270637.625,0.6643222154587457
528,"[2008.0, 5.0, 22.0, 6.0, 32.0, 40.921]",24,B0005,528,529,00529.csv,1.323170899227622,146,2008-05-22 06:32:40.921,4288019.328,0.6615854496138112
532,"[2008.0, 5.0, 22.0, 11.0, 23.0, 22.187]",24,B0005,532,533,00533.csv,1.3181691588445197,147,2008-05-22 11:23:22.187,4305460.594,0.6590845794222598
536,"[2008.0, 5.0, 22.0, 16.0, 17.0, 58.89]",24,B0005,536,537,00537.csv,1.3184664436640334,148,2008-05-22 16:17:58.890,4323137.297,0.6592332218320167
540,"[2008.0, 5.0, 22.0, 20.0, 59.0, 50.203]",24,B0005,540,541,00541.csv,1.318293040102702,149,2008-05-22 20:59:50.203,4340048.61,0.659146520051351
544,"[2008.0, 5.0, 23.0, 12.0, 13.0, 16.359]",24,B0005,544,545,00545.csv,1.323872422244268,150,2008-05-23 12:13:16.359,4394854.766,0.661936211122134
547,"[2008.0, 5.0, 23.0, 20.0, 14.0, 29.875]",24,B0005,547,548,00548.csv,1.3601216766554785,151,2008-05-23 20:14:29.875,4423728.282,0.6800608383277392
